Facility_ID,City,State,County,Total_Admissions,ReadmissionRate,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_1,H_Comp_2,H_Comp_3,H_Comp_5,H_Comp_6,H_Comp_7,H_Comp_Cl,H_Comp_Qt,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT
330350,BROOKLYN,NY,Kings,302,16.2,0.45,2.044,2.22,0.542,1.370158,0.211121,0.093984,3.194987,1.383769,5.828312,6.308952,4.545526000000001,0.854406,1.4760719999999998,1.385149,3.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,0.2682119205298013,0.32781456953642385,0.6291390728476821,,0.24834437086092714,172,2,high,32,45,55182.333333333336,2559903.0,35.7
330386,HARRIS,NY,Sullivan,444,16.2,,3.181,,0.874,0.26555500000000004,0.21961999999999998,0.10683,2.475326,,,3.15951,,0.8450290000000001,1.11568,0.9650639999999999,3.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,0.12612612612612611,0.44594594594594594,0.36936936936936937,,0.6216216216216216,156,,,39,73,48930.666666666664,75432.0,42.8
330393,STONY BROOK,NY,Suffolk,4586,15.5,0.524,0.545,0.773,0.82,0.767125,0.202986,0.100704,2.291747,1.347168,7.999147,3.9652879999999997,5.929839,0.86679,1.67989,1.213496,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,0.14587876144788486,0.10532054077627562,0.3314435237679895,0.1371565634539904,0.30026166593981685,176,2,very high,69,75,72700.66666666667,1476601.0,42.0
330394,BINGHAMTON,NY,Broome,1599,15.4,1.363,0.984,0.526,1.052,0.450043,0.24262899999999998,0.089293,2.9111990000000003,1.8086470000000001,6.290198,2.731409,6.568166000000001,0.793886,1.560889,1.0763120000000002,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,0.2188868042526579,0.17073170731707318,0.29018136335209505,0.18699186991869918,0.30268918073796125,236,,,63,75,45991.666666666664,190488.0,39.7
330395,FAR ROCKAWAY,NY,Queens,522,17.6,1.781,0.971,0.921,0.519,0.82768,0.247917,0.093553,2.9194709999999997,1.4180979999999999,6.116294,4.698437,4.82817,1.000544,1.109732,1.1609690000000001,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,,0.30268199233716475,0.18007662835249041,,0.5613026819923371,189,,,71,69,52609.0,2253858.0,39.6
330399,BRONX,NY,Bronx,213,15.8,1.062,1.03,0.703,0.285,0.6477430000000001,0.290885,0.094171,2.669143,1.4187969999999999,,3.672382,,0.85216,1.88012,1.040798,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,0.20187793427230047,0.3004694835680751,,0.3333333333333333,263,10,very high,19,75,39278.0,1418207.0,34.8
330401,SMITHTOWN,NY,Suffolk,1626,16.5,0.0,0.704,0.673,0.353,1.3865290000000001,0.183534,0.100712,3.3916169999999997,1.342558,6.62812,2.190876,5.260528,0.8217450000000001,1.509675,1.230807,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,0.07257072570725707,0.1906519065190652,0.3247232472324723,0.06088560885608856,0.22509225092250923,222,,,80,68,72700.66666666667,1476601.0,42.0
340001,CONCORD,NC,Cabarrus,2012,14.9,1.133,0.684,0.497,0.346,0.668994,0.169301,0.111043,2.348862,1.816656,4.948748,4.433567,4.685493,0.929757,0.9358059999999999,1.055017,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.20576540755467196,0.2276341948310139,0.3513916500994036,0.2544731610337972,0.5084493041749503,168,3,very high,39,89,47285.666666666664,216453.0,37.7
340002,ASHEVILLE,NC,Buncombe,4514,13.6,0.728,0.472,0.54,0.861,0.14419400000000002,0.33371799999999996,0.087403,2.61219,1.089795,4.799405,3.366032,4.186485,0.7905220000000001,1.0354809999999999,0.804819,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,0.2627381479840496,0.12871067789100576,0.344926894107222,0.36397873283119186,0.30815241470979177,167,1,very high,65,94,50977.333333333336,261191.0,42.5
340003,MOUNT AIRY,NC,Surry,436,14.5,,0.776,,0.608,0.36030300000000004,0.22194099999999997,0.094563,2.444831,1.4005889999999999,4.712691,3.0600810000000003,4.605397,0.842526,1.0903610000000001,0.869417,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,,0.4059633027522936,0.3944954128440367,0.19724770642201836,0.7568807339449541,208,4,medium,50,98,39901.333333333336,71783.0,44.4
340004,HIGH POINT,NC,Guilford,917,15.4,1.16,0.733,1.558,0.38,0.439144,0.226465,0.091383,2.3146259999999996,1.3171059999999999,4.502101000000001,3.541507,4.435784,0.8307469999999999,0.988786,0.8918940000000001,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.17884405670665213,0.247546346782988,0.48854961832061067,0.1559432933478735,0.49291166848418755,211,5,high,41,87,47367.666666666664,537174.0,37.6
340008,LAURINBURG,NC,Scotland,488,14.8,,0.672,1.596,0.369,0.24405900000000003,0.21788400000000002,0.093706,2.6166099999999997,1.395224,4.373149,4.4069199999999995,5.229552,1.008286,1.117961,0.9334680000000001,4.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,0.10245901639344263,0.32172131147540983,0.5799180327868853,0.3422131147540984,0.444672131147541,179,3,high,70,,34190.0,34823.0,39.4
