ReadmissionRate,Facility_ID,City,State,County,Total_Admissions,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT,County_Facilities,Pop/Hosp
16.4,10104,BIRMINGHAM,AL,Jefferson,1726,0.161,0.998,0.292,0.43200000000000005,0.239174,0.335897,0.087284,2.275929,1.804831,4.566951,2.990612,5.006118,0.925883,0.667134,0.8736860000000001,4.0,0.14310544611819234,0.11819235225955968,0.294901506373117,0.31170336037079954,0.24275782155272305,206.0,2.0,3.0,46.0,83.0,56600.0,658573.0,37.9,8,82321.625
15.3,10108,PRATTVILLE,AL,Autauga,207,,0.0,,0.8170000000000001,0.406366,0.225929,0.094786,,,,,,,1.1984549999999998,0.943757,4.0,,0.8743961352657005,0.7149758454106279,,0.9710144927536232,180.0,,0.0,48.0,93.0,44704.33333333334,55869.0,39.3,1,55869.0
15.5,10113,MOBILE,AL,Mobile,1934,1.922,0.679,1.198,0.529,0.755566,0.292827,0.086371,3.094024,1.199688,5.676742,5.228297,3.707031,0.7807189999999999,1.604439,1.107536,3.0,0.0997931747673216,0.16287487073422954,0.2874870734229576,0.2249224405377456,0.2761116856256463,203.0,3.0,3.0,78.0,84.0,40340.333333333336,413210.0,38.1,4,103302.5
15.4,10114,BESSEMER,AL,Jefferson,345,1.0090000000000001,0.66,1.88,0.294,0.294582,0.219793,0.093804,2.2977950000000003,1.390806,5.423871,3.463324,6.775689,0.8410549999999999,1.069002,0.999877,2.0,,0.3739130434782609,0.3072463768115942,0.07536231884057971,0.6086956521739131,119.0,,0.0,44.0,89.0,56600.0,658573.0,37.9,8,82321.625
15.3,10118,SELMA,AL,Dallas,332,,0.45299999999999996,,0.0,0.256415,0.219176,0.105984,2.437946,1.407493,,3.177013,4.5546,0.853856,1.140618,0.850303,1.0,0.08734939759036145,0.27710843373493976,0.5301204819277109,,0.4819277108433735,136.0,,0.0,61.0,69.0,37714.333333333336,37196.0,40.7,1,37196.0
14.9,10131,HUNTSVILLE,AL,Madison,1120,3.293,0.299,1.6119999999999999,0.644,0.177897,0.224969,0.10257,2.181915,1.319061,4.5156550000000015,4.324592,4.8063660000000015,0.979368,1.479357,0.8942620000000001,3.0,0.11964285714285715,0.2419642857142857,0.21339285714285716,0.5982142857142857,0.3830357142857143,214.0,1.0,3.0,59.0,80.0,54352.0,372909.0,38.6,2,186454.5
15.9,10139,BIRMINGHAM,AL,Jefferson,870,0.774,1.091,1.89,0.726,0.157691,0.286771,0.091394,2.66373,,,4.688456,,1.135405,0.928837,0.936264,3.0,0.15057471264367814,0.2149425287356322,0.2425287356321839,0.296551724137931,0.296551724137931,125.0,1.0,3.0,50.0,89.0,56600.0,658573.0,37.9,8,82321.625
16.1,10144,MOBILE,AL,Mobile,773,1.013,0.723,0.987,0.19399999999999998,0.526575,0.203458,0.092324,3.726906,1.3073709999999998,5.220212,4.9743309999999985,4.127864,0.834923,0.993165,1.020971,3.0,0.11642949547218627,0.21216041397153945,0.4540750323415265,0.31047865459249674,0.34540750323415265,124.0,3.0,3.0,29.0,96.0,40340.333333333336,413210.0,38.1,4,103302.5
15.2,10149,MONTGOMERY,AL,Montgomery,444,3.344,1.829,0.777,0.742,0.265397,0.21842,0.106415,2.374238,1.391122,4.267735,4.50068,5.579903,0.8412270000000001,0.996318,0.950788,4.0,,0.31756756756756754,0.4369369369369369,,0.5405405405405406,199.0,,0.0,29.0,91.0,45271.66666666666,226486.0,36.8,3,75495.33333333333
17.1,01014F,BIRMINGHAM,AL,Jefferson,1348,0.0,0.355,,,0.726963,0.310802,0.089634,2.539031,1.792992,4.806118,3.909946,5.9020980000000005,0.947402,1.40659,1.138843,3.0,0.07195845697329377,0.21439169139465875,0.4621661721068249,0.11350148367952526,0.26483679525222553,,,0.0,,,56600.0,658573.0,37.9,8,82321.625
